1015 z,1015 r,1015 A_v,1015 r-i,1015 i-z,2137 z,2137 r,2137 A_v,2137 r-i,2137 i-z,2958 z,2958 r,2958 A_v,2958 r-i,2958 i-z
,,,,,,,,,,0.2135095,21.46766,0.02954887,1.04559,0.53029
,,,,,,,,,,1.53001,21.4313,0.02914144,0.92511,0.27171
,,,,,,,,,,1.306994,21.03819,0.03036461,0.80609,0.13717
,,,,,,,,,,2.129944,20.40641,0.02888536,-0.51343,0.66521
,,,,,,,,,,1.338066,20.3107,0.03128649,0.31233,0.01525
,,,,,,,,,,3.57403,20.74754,0.03121666,-0.14291,0.54321
,,,,,,,,,,1.060908,20.60448,0.02933997,-0.533,0.15054
,,,,,,,,,,1.211842,20.39512,0.03539361,-0.623,0.22577
,,,,,,,,,,1.595695,20.26793,0.02853288,-0.03288,-0.13217
,,,,,,,,,,1.73594,21.31697,0.02966428,0.75217,-0.05955
,,,,,,,,,,1.153374,20.57762,0.02840068,-0.32435,0.17054
,,,,,,,,,,1.600238,21.21115,0.02213036,-0.21802,0.32621
,,,,,,,,,,1.468683,20.80169,0.03270669,0.38364,0.2022
,,,,,,,,,,1.035676,20.57326,0.02766703,0.28893,0.29483
,,,,,,,,,,1.156287,20.99695,0.02176605,0.1663,0.35655
,,,,,,,,,,1.389165,20.74919,0.03239169,0.00194,0.06833
,,,,,,,,,,0.3572167,20.29924,0.02775639,-0.22761,0.14607
,,,,,,,,,,0.793924,20.72766,0.02932471,0.04255,0.03191
,,,,,,,,,,1.891682,21.01144,0.02844368,0.3407,0.36332
,,,,,,,,,,1.440078,20.23816,0.02938298,-0.58401,0.04112
,,,,,,,,,,1.595914,20.81281,0.0319584,-0.10162,0.5079
,,,,,,,,,,1.644765,21.0277,0.02923688,0.46715,-0.05625
,,,,,,,,,,1.351563,20.48682,0.02725781,0.32937,-0.10842
,,,,,,,,,,1.249945,20.74758,0.02536747,0.03784,0.1769
,,,,,,,,,,1.042375,20.79537,0.02778673,-0.21189,0.01544
,,,,,,,,,,1.313532,20.95741,0.02753105,-0.03887,0.20609
,,,,,,,,,,1.682642,21.08383,0.02593999,0.26813,0.01848
,,,,,,,,,,1.080578,20.49845,0.02701825,-0.00896,-0.18698
,,,,,,,,,,1.152426,20.16069,0.02658816,-0.88254,0.2701
,,,,,,,,,,1.148162,20.76863,0.03079805,0.00233,-0.08682
,,,,,,,,,,1.66848,20.42905,0.02780779,-0.39006,-0.20056
,,,,,,,,,,0.6585992,20.98092,0.02587195,0.41224,-0.00534
,,,,,,,,,,1.59192,20.86304,0.02982001,0.01538,0.31696
,,,,,,,,,,1.0273,21.20271,0.03246919,0.30624,0.08381
,,,,,,,,,,1.435789,21.22849,0.03463353,0.1265,0.34677
,,,,,,,,,,1.776134,21.01892,0.0304018,0.78914,0.00566
,,,,,,,,,,1.764663,21.20546,0.02435786,0.47851,0.3998
,,,,,,,,,,0.9972191,20.76523,0.02753736,0.2362,0.48358
,,,,,,,,,,1.98603,20.78307,0.02449167,0.49237,0.21671
,,,,,,,,,,1.469086,21.09542,0.03130702,0.06672,0.29656
,,,,,,,,,,1.401302,21.05363,0.03094878,0.90695,0.08989
,,,,,,,,,,1.294168,20.41933,0.03981672,-1.06867,-0.1261
,,,,,,,,,,1.507491,20.76558,0.03864082,0.04742,-0.16414
,,,,,,,,,,0.04219011,21.0349,0.03623493,0.08488,0.18759
,,,,,,,,,,1.499221,21.29927,0.03452259,0.96801,-0.05488
,,,,,,,,,,1.437759,20.97454,0.04000602,0.57682,-0.21937
,,,,,,,,,,1.491253,20.90412,0.03251691,0.17639,0.60278
,,,,,,,,,,0.5885561,21.16509,0.03030796,1.09573,0.19183
,,,,,,,,,,1.252313,20.8607,0.03294965,0.57535,0.19369
,,,,,,,,,,1.779953,20.9336,0.03441372,1.21721,0.09635
,,,,,,,,,,1.615922,20.765,0.0332556,-0.29211,-0.06623
,,,,,,,,,,1.23769,20.18424,0.03188026,-0.43638,0.0635
,,,,,,,,,,1.092166,20.43928,0.03477819,-0.42329,0.41124
,,,,,,,,,,1.138685,21.31554,0.03030588,0.41249,-0.01758
,,,,,,,,,,1.638497,21.12871,0.03328897,0.87142,0.04491
,,,,,,,,,,1.753874,20.70613,0.03374372,0.37877,0.07073
,,,,,,,,,,1.042729,20.40871,0.03129407,-0.49005,-0.13037
,,,,,,,,,,1.418758,20.95749,0.02896499,0.56185,0.23663
